Date, Open, High, Low, Close, Volume
9/17/2021,148.82,148.82,145.76,146.06,129868797
9/16/2021,148.44,148.97,147.221,148.79,68034148
9/15/2021,148.56,149.44,146.37,149.03,83281320
9/14/2021,150.35,151.07,146.91,148.12,109296305
9/13/2021,150.63,151.42,148.75,149.55,102404305
9/10/2021,155,155.48,148.7,148.97,140893203
9/9/2021,155.49,156.11,153.95,154.07,57305727
9/8/2021,156.98,157.04,153.975,155.11,74420211
9/7/2021,154.97,157.26,154.39,156.69,82278258
9/3/2021,153.76,154.63,153.09,154.3,57866070
9/2/2021,153.87,154.72,152.4,153.65,71171320
9/1/2021,152.83,154.98,152.34,152.51,80313711
8/31/2021,152.66,152.8,151.29,151.83,86453117
8/30/2021,149,153.49,148.61,153.12,90956719
8/27/2021,147.48,148.75,146.83,148.6,55802391
8/26/2021,148.35,149.12,147.51,147.54,48597199
8/25/2021,149.81,150.32,147.8,148.36,58991301
8/24/2021,149.45,150.86,149.15,149.62,48606434
8/23/2021,148.31,150.19,147.89,149.71,60131809
8/20/2021,147.44,148.5,146.78,148.19,60549633
8/19/2021,145.03,148,144.5,146.7,86960312
8/18/2021,149.8,150.72,146.15,146.36,86325992
8/17/2021,150.23,151.68,149.09,150.19,92229742
8/16/2021,148.535,151.19,146.47,151.12,103558797
8/13/2021,148.97,149.4444,148.27,149.1,59375008
8/12/2021,146.19,149.05,145.84,148.89,73779109
8/11/2021,146.05,146.72,145.53,145.86,48493461
8/10/2021,146.44,147.71,145.3,145.6,69023078
8/9/2021,146.2,146.7,145.52,146.09,48908688
8/6/2021,146.35,147.11,145.63,146.14,54126809
8/5/2021,146.98,147.84,146.17,147.06,46397672
8/4/2021,147.27,147.79,146.28,146.95,56368273
8/3/2021,145.81,148.045,145.18,147.36,64786621
8/2/2021,146.36,146.95,145.25,145.52,62879961
7/30/2021,144.38,146.33,144.11,145.86,70440633
7/29/2021,144.685,146.55,144.58,145.64,56699480
7/28/2021,144.81,146.97,142.54,144.98,118931203
7/27/2021,149.12,149.21,145.55,146.77,104818602
7/26/2021,148.27,149.83,147.7,148.99,72434086
7/23/2021,147.55,148.7177,146.92,148.56,71447422
7/22/2021,145.935,148.195,145.81,146.8,77338156
7/21/2021,145.53,146.13,144.63,145.4,74993453
7/20/2021,143.46,147.0997,142.96,146.15,96350039
7/19/2021,143.75,144.07,141.67,142.45,121434602
7/16/2021,148.46,149.76,145.88,146.39,93251430
7/15/2021,149.24,150,147.09,148.48,106820305
7/14/2021,148.1,149.57,147.68,149.15,127050797
7/13/2021,144.03,147.46,143.63,145.64,100827102
7/12/2021,146.21,146.32,144,144.5,76299719
7/9/2021,142.75,145.65,142.6522,145.11,99890797
7/8/2021,141.58,144.06,140.665,143.24,105575508
7/7/2021,143.535,144.89,142.66,144.57,104911602
7/6/2021,140.07,143.15,140.07,142.02,108181797
7/2/2021,137.9,140,137.745,139.96,78945570
7/1/2021,136.6,137.33,135.76,137.27,52485781
6/30/2021,136.17,137.41,135.87,136.96,63261391
6/29/2021,134.8,136.49,134.35,136.33,64556078
6/28/2021,133.41,135.245,133.35,134.78,62111301
6/25/2021,133.46,133.89,132.81,133.11,70783750
6/24/2021,134.45,134.64,132.93,133.41,68711000
6/23/2021,133.77,134.32,133.23,133.7,60214199
6/22/2021,132.13,134.08,131.62,133.98,74783617
6/21/2021,130.3,132.41,129.21,132.3,79663320
6/18/2021,130.71,131.51,130.24,130.46,108953297
6/17/2021,129.8,132.55,129.65,131.79,96721672
6/16/2021,130.37,130.89,128.461,130.15,91815031
6/15/2021,129.94,130.6,129.39,129.64,62746328
6/14/2021,127.82,130.54,127.07,130.48,96906484
6/11/2021,126.53,127.44,126.1,127.35,53522367
6/10/2021,127.02,128.19,125.94,126.11,71186414
6/9/2021,127.21,127.75,126.52,127.13,56877941
6/8/2021,126.6,128.46,126.2101,126.74,74403766
6/7/2021,126.17,126.32,124.8321,125.9,71057555
6/4/2021,124.07,126.16,123.85,125.89,75169344
6/3/2021,124.68,124.85,123.13,123.54,76229172
6/2/2021,124.28,125.24,124.05,125.06,59278859
6/1/2021,125.08,125.35,123.94,124.28,67637117
5/28/2021,125.57,125.8,124.55,124.61,71311109
5/27/2021,126.44,127.64,125.08,125.28,94625602
5/26/2021,126.955,127.39,126.42,126.85,56575922
5/25/2021,127.82,128.32,126.32,126.9,72009477
5/24/2021,126.01,127.94,125.94,127.1,63092953
5/21/2021,127.82,128,125.21,125.43,79295438
5/20/2021,125.23,127.72,125.1,127.31,76857117
5/19/2021,123.16,124.915,122.86,124.69,92611992
5/18/2021,126.56,126.99,124.78,124.85,63342930
5/17/2021,126.82,126.93,125.17,126.27,74116555
5/14/2021,126.25,127.89,125.85,127.45,81917953
5/13/2021,124.58,126.15,124.26,124.97,105861297
5/12/2021,123.4,124.64,122.25,122.77,112172305
5/11/2021,123.5,126.27,122.77,125.91,126142797
5/10/2021,129.41,129.54,126.81,126.85,88071234
5/7/2021,130.85,131.2582,129.475,130.21,78973273
5/6/2021,127.89,129.75,127.13,129.74,78128328
5/5/2021,129.2,130.45,127.97,128.1,84000898
5/4/2021,131.19,131.4899,126.7,127.85,137564703
5/3/2021,132.04,134.07,131.83,132.54,75135102
4/30/2021,131.78,133.56,131.065,131.46,109839508
4/29/2021,136.47,137.07,132.45,133.48,151100984
4/28/2021,134.31,135.02,133.08,133.58,107760094
4/27/2021,135.01,135.41,134.11,134.39,66015797
4/26/2021,134.83,135.06,133.56,134.72,66905070
4/23/2021,132.16,135.12,132.16,134.32,78756781
4/22/2021,133.04,134.15,131.41,131.94,84566461
4/21/2021,132.36,133.75,131.3001,133.5,68847133
4/20/2021,135.02,135.53,131.81,133.11,94812352
4/19/2021,133.51,135.47,133.34,134.84,94264227
4/16/2021,134.3,134.67,133.28,134.16,84922391
4/15/2021,133.82,135,133.64,134.5,89347102
4/14/2021,134.94,135,131.655,132.03,87222781
4/13/2021,132.44,134.66,131.93,134.43,91266555
4/12/2021,132.52,132.85,130.63,131.24,91419984
4/9/2021,129.8,133.04,129.47,132.995,106686703
4/8/2021,128.95,130.39,128.52,130.36,88844594
4/7/2021,125.83,127.92,125.14,127.9,83466719
4/6/2021,126.5,127.13,125.65,126.21,80171250
4/5/2021,123.87,126.1601,123.07,125.9,88651188
4/1/2021,123.66,124.18,122.49,123,75089125
3/31/2021,121.65,123.52,121.15,122.15,118323797
3/30/2021,120.11,120.4031,118.86,119.9,85671922
3/29/2021,121.65,122.58,120.7299,121.39,80819203
3/26/2021,120.35,121.48,118.92,121.21,94071234
3/25/2021,119.54,121.66,119,120.59,98844680
3/24/2021,122.82,122.9,120.065,120.09,88530484
3/23/2021,123.33,124.24,122.14,122.54,95467133
3/22/2021,120.33,123.87,120.26,123.39,111912305
3/19/2021,119.9,121.43,119.675,119.99,185549500
3/18/2021,122.88,123.18,120.32,120.53,121469797
3/17/2021,124.05,125.8599,122.336,124.76,111932602
3/16/2021,125.7,127.22,124.715,125.57,115227906
3/15/2021,121.41,124,120.42,123.99,92590562
3/12/2021,120.4,121.17,119.16,121.03,88105047
3/11/2021,122.54,123.21,121.26,121.96,103026492
3/10/2021,121.69,122.17,119.45,119.98,111943297
3/9/2021,119.03,122.06,118.79,121.085,129525797
3/8/2021,120.93,121,116.21,116.36,154376609
3/5/2021,120.98,121.935,117.57,121.42,153766594
3/4/2021,121.75,123.6,118.62,120.13,178155016
3/3/2021,124.81,125.71,121.84,122.06,112966305
3/2/2021,128.41,128.72,125.01,125.12,102260898
3/1/2021,123.75,127.93,122.79,127.79,116307906
2/26/2021,122.59,124.85,121.2,121.26,164560406
2/25/2021,124.68,126.4585,120.54,120.99,148199500
2/24/2021,124.94,125.56,122.23,125.35,111039906
2/23/2021,123.76,126.71,118.39,125.86,158272984
2/22/2021,128.01,129.72,125.6,126,103916398
2/19/2021,130.24,130.71,128.8,129.87,87668828
2/18/2021,129.2,129.995,127.41,129.71,96856750
2/17/2021,131.25,132.22,129.47,130.84,98085250
2/16/2021,135.49,136.01,132.79,133.19,80576320
2/12/2021,134.35,135.53,133.6921,135.37,60145129
2/11/2021,135.9,136.39,133.77,135.13,64280031
2/10/2021,136.48,136.99,134.4,135.39,73046562
2/9/2021,136.62,137.877,135.85,136.01,76774211
2/8/2021,136.03,136.96,134.92,136.91,71297211
2/5/2021,137.35,137.42,135.86,136.76,75693828
2/4/2021,136.3,137.4,134.59,137.39,84183055
2/3/2021,135.76,135.77,133.61,133.94,89880945
2/2/2021,135.73,136.31,134.61,134.99,83305367
2/1/2021,133.75,135.38,130.93,134.14,106239797
1/29/2021,135.83,136.74,130.21,131.96,177523812
1/28/2021,139.52,141.99,136.7,137.09,142621109
1/27/2021,143.43,144.3,140.41,142.06,140843812
1/26/2021,143.6,144.3,141.37,143.16,98390562
1/25/2021,143.07,145.09,136.54,142.92,157611703
1/22/2021,136.28,139.85,135.02,139.07,114459398
1/21/2021,133.8,139.67,133.59,136.87,120529508
1/20/2021,128.66,132.49,128.55,132.03,104319508
1/19/2021,127.78,128.71,126.938,127.83,90757328
1/15/2021,128.78,130.2242,127,127.14,111598492
1/14/2021,130.8,131,128.76,128.91,90221758
1/13/2021,128.76,131.45,128.49,130.89,88636828
1/12/2021,128.5,129.69,126.86,128.8,91951148
1/11/2021,129.19,130.17,128.5,128.98,100620898
1/8/2021,132.43,132.63,130.23,132.05,105158203
1/7/2021,128.36,131.63,127.86,130.92,109578203
1/6/2021,127.72,131.0499,126.382,126.6,155088000
1/5/2021,128.89,131.74,128.43,131.01,97664898
1/4/2021,133.52,133.6116,126.76,129.41,143301906
